date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:01	109575/109575	---M-Z	200	added ('OK')	text/html	etag:%221ac07-5fb92b8f8c343-gzip%22	https://yashadmin.dexignzone.com/xhtml/index-4.html	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/index-4.html	(from )
12:18:02	242/242	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jul%202023%2004:17:54%20GMT	https://yashadmin.dexignzone.com/robots.txt		(from )
12:18:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jul%202023%2004:17:55%20GMT	https://yeshadmin.dexignzone.com/xhtml/social-image.png	C:/My%20Web%20Sites/Yash/yeshadmin.dexignzone.com/xhtml/social-image.1.delayed	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:04	614/614	---M--	200	added ('OK')	image/png	etag:%22266-5fb92bb628ac4%22	https://yashadmin.dexignzone.com/xhtml/images/favicon.png	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/images/favicon.png	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:04	11120/11120	---M--	200	added ('OK')	text/css	etag:%222b70-5a38ed896d380%22	https://yashadmin.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:04	5696/5696	---M--	200	added ('OK')	text/css	etag:%221640-5df52befb3600%22	https://yashadmin.dexignzone.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:05	4294/4294	---M-Z	200	added ('OK')	text/css	etag:%226498a6b2-4c5%22	https://cdnjs.cloudflare.com/ajax/libs/noUiSlider/14.6.4/nouislider.min.css	C:/My%20Web%20Sites/Yash/cdnjs.cloudflare.com/ajax/libs/noUiSlider/14.6.4/nouislider.min.css	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:05	13901/13901	---M--	200	added ('OK')	text/css	etag:%22364d-5f3aa5c0e8a80%22	https://yashadmin.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:05	10058/10058	---M-Z	200	added ('OK')	text/css	etag:%2212e2341-274a-5f5c41e7bf2b7-gzip%22	https://cdn.datatables.net/buttons/1.6.4/css/buttons.dataTables.min.css	C:/My%20Web%20Sites/Yash/cdn.datatables.net/buttons/1.6.4/css/buttons.dataTables.min.css	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:06	8194/8194	---M--	200	added ('OK')	text/css	etag:%222002-56199f8589a00%22	https://yashadmin.dexignzone.com/xhtml/vendor/bootstrap-datetimepicker/css/bootstrap-datetimepicker.min.css	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/vendor/bootstrap-datetimepicker/css/bootstrap-datetimepicker.min.css	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:06	10867/10867	---M--	200	added ('OK')	text/css	etag:%222a73-5f47b273cbd00%22	https://yashadmin.dexignzone.com/xhtml/vendor/tagify/dist/tagify.css	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/vendor/tagify/dist/tagify.css	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:07	72824/72824	---M--	200	added ('OK')	image/gif	etag:%2211c78-5fb92bbdef629%22	https://yashadmin.dexignzone.com/xhtml/images/pre.gif	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/images/pre.gif	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:08	147534/147534	---M-Z	200	added ('OK')	text/html	etag:%222404e-5fb92b90c62ac-gzip%22	https://yashadmin.dexignzone.com/xhtml/index.html	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/index.html	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:08	6030/6030	---M--	200	added ('OK')	image/jpeg	etag:%22178e-5fb92bd4cba62%22	https://yashadmin.dexignzone.com/xhtml/images/avatar/1.jpg	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/images/avatar/1.jpg	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:08	9090/9090	---M--	200	added ('OK')	image/jpeg	etag:%222382-5fb92bd5d92dc%22	https://yashadmin.dexignzone.com/xhtml/images/avatar/2.jpg	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/images/avatar/2.jpg	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:09	8584/8584	---M--	200	added ('OK')	image/jpeg	etag:%222188-5fb92bd6f2abe%22	https://yashadmin.dexignzone.com/xhtml/images/avatar/3.jpg	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/images/avatar/3.jpg	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:09	7438/7438	---M--	200	added ('OK')	image/jpeg	etag:%221d0e-5fb92bd80da10%22	https://yashadmin.dexignzone.com/xhtml/images/avatar/4.jpg	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/images/avatar/4.jpg	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
12:18:09	9855/9855	---M--	200	added ('OK')	image/jpeg	etag:%22267f-5fb92bd9271f1%22	https://yashadmin.dexignzone.com/xhtml/images/avatar/5.jpg	C:/My%20Web%20Sites/Yash/yashadmin.dexignzone.com/xhtml/images/avatar/5.jpg	(from https://yashadmin.dexignzone.com/xhtml/index-4.html)
